"query","restaurant_name","restaurant_id","label","reason","district","cuisines","source"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Phương Nam Quán - Quán Ăn Gia Đình","151357","3","Quán ăn quận Bình Thạnh, món Việt, không chuyên ăn vặt nên phù hợp khá.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Chợt Nhớ Quán - Ăn Vặt Online","749693","0","Không ở quận Bình Thạnh mà ở TP Thủ Đức.","Tp. Thủ Đức","Món Bắc","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Tiệm Ăn Vặt 1998","1063048","4","Ăn vặt, quận Bình Thạnh, món Việt phù hợp.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Quán 2 Chị Em - Giải Khát & Ăn Vặt","690758","4","Ăn vặt, quận Bình Thạnh, giá rẻ phù hợp.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Tin Béo - Ăn Vặt & Chè Dưỡng Nhan - Shop Online","1037347","4","Ăn vặt, quận Bình Thạnh, món Việt phù hợp.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Cẩm Nguyên - Giải Khát","909090","2","Chủ yếu giải khát, món Việt, quận Bình Thạnh có liên quan nhưng không chuyên ăn vặt.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Chụyy Quán - Món Ngon Vị Miền Trung","235870","0","Không ở quận Bình Thạnh, ở quận 1 nên không phù hợp.","Quận 1","Món Miền Trung","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Hồ Ngọc - Quán Ăn Bình Dân","782851","1","Quán nhậu, món Việt, dù ở quận Bình Thạnh nhưng ít liên quan ăn vặt.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Quán Ốc Hoàng","232838","4","Ăn vặt, quận Bình Thạnh, món miền Nam phù hợp.","Quận Bình Thạnh","Món Miền Nam","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Nàng Khúc Bạch","1061865","4","Ăn vặt, quận Bình Thạnh, món Việt phù hợp.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Cửa Hàng Ăn Uống Số 12 - Xô Viết Nghệ Tĩnh","762622","1","Món Bắc, chất lượng kém, quận Bình Thạnh nên ít phù hợp ăn vặt.","Quận Bình Thạnh","Món Bắc","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Quán Ăn Như Ý","790855","0","Không ở quận Bình Thạnh, ở quận 12.","Quận 12","Món Việt","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Ẩm Thực Đường Phố Hàn Quốc","1063975","0","Không ở Quận 1, sai vị trí.","Quận 7","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Moon Tokbokki - Quán Ăn Hàn Quốc","997906","0","Không ở Quận 1, sai vị trí.","Quận 7","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","K-Food - Korean Fast Food & Fine Grocery","677154","0","Không ở Quận 1, sai vị trí.","Tp. Thủ Đức","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Jpangi - Kem Gậy Hàn Quốc","237816","3","Vị trí Quận 1 đúng, món Hàn nhưng chỉ là ăn vặt, phù hợp cuối tuần.","Quận 1","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Apuro - Ẩm Thực Hàn Quốc","676469","4","Vị trí Quận 1, món Hàn ngon, mở cửa cuối tuần, phù hợp yêu cầu.","Quận 1","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Thanh Ngoan - Quán Ăn Hàn Quốc","777632","0","Không phải món Hàn, sai loại ẩm thực.","Quận 7","Món Việt","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Ú - Korean Street Food","640706","0","Không ở Quận 1, sai vị trí.","Quận 11","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Số 1 GOGI - Quán Ăn Hàn Quốc","634746","0","Không ở Quận 1, sai vị trí.","Quận 7","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Hello Korea - Món Ăn Hàn Quốc","1045702","0","Không ở Quận 1, sai vị trí.","Quận 7","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","DY Express - No1 Korean Street Food & Takeaway","701276","3","Vị trí Quận 1, món Hàn ăn vặt phù hợp cuối tuần nhưng không có đánh giá chất lượng.","Quận 1","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Hankook Food - Ẩm Thực Hàn Quốc Online","1018220","0","Không ở Quận 1, sai vị trí.","Quận 10","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Dong Dong Ju - Quán Ăn Hàn Quốc","803027","0","Không ở Quận 1, sai vị trí.","Quận 2","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","DONG SEOUL - Quán Ăn Hàn Quốc","1000046669","0","Không ở Quận 1, sai vị trí.","Quận 5","Đài Loan || Món Trung Hoa || Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Thích Korean - Chuyên Các Món Ăn Hàn Quốc","664270","0","Không ở Quận 1, sai vị trí.","Quận Gò Vấp","Món Hàn","pinecone"
"Hãy cho tôi biết quán nào bán đồ Hàn Quốc ngon ở Quận 1 để đi cuối tuần","Foodstreet - Đồ Ăn Hàn Quốc & Trà Trái Cây","1044080","0","Không ở Quận 1, sai vị trí.","Tp. Thủ Đức","Quốc tế","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","The Greenhouse - Pizza, Pasta & Salad","974252","4","Quán ở Quận 7, không gian rất đẹp điểm 10.0.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","La Scento - Coffee & Restaurant","977146","2","Quán ở Quận 7 nhưng không gian không có điểm hoặc review.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Mr. Ho Bistro - Quán Ăn & Cafe","650332","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Lugardecita Sài Gòn","1042774","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","B Coffee House & Food Beer","931587","2","Quán ở Quận 7 nhưng không gian không có điểm hoặc review.","Quận 7","Món Việt || Món Thái","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Quán 333 - Nhậu Bình Dân - Trần Xuân Soạn","778388","2","Quán ở Quận 7, không gian không có điểm hoặc review.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","La Chola De Lima","708045","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Âu","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Chill Corner","855801","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 2","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Le Café Des Stagiaires","1056918","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 2","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Quán Nhậu 777 - Trần Xuân Soạn","974860","2","Quán ở Quận 7, không gian không có điểm hoặc review.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Ideal Studio & Cafe","215901","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 10","Món Miền Nam","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","The Seventh Barista","1045508","3","Quán ở Quận 7, không gian đẹp điểm 9.0 phù hợp yêu cầu.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","24 - Food & Drink","779686","1","Quán ở Quận 7 nhưng không gian không điểm, ít phù hợp.","Quận 7","Tây Bắc || Hà Nội || Nam Định","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Quán K3 - Quán Nhậu","974868","2","Quán ở Quận 7, không gian không có điểm hoặc review.","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm một quán ăn ở quận 7 có không gian đẹp","Canteen - Cafe, Bar & Grill","311544","0","Quán không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Ty's Corner - Nhậu Vui Bất Ngờ","1044529","0","Quán ở Quận 1, không giao hàng tận nơi.","Quận 1","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Love Eat - Wrap & Panini","224646","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Mexico || Ý","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Nghiệp Quán - Food & Drink","963634","0","Quán ở Quận 4, không phải Quận 10.","Quận 4","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Nhà Hàng 3 In 1","259641","0","Quán ở Quận Tân Phú, không phải Quận 10.","Quận Tân Phú","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Chụyy Quán - Món Ngon Vị Miền Trung","235870","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Miền Trung","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Kem Greenie Scoop - Bitexco","625427","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","You Are Here - Thức Uống Take Away - Thích Quảng Đức","156671","0","Quán ở Quận Phú Nhuận, không phải Quận 10.","Quận Phú Nhuận","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Walky Gelato - Kem Ý Đi Bộ","172184","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Lickie Ice Dream - Huỳnh Thúc Kháng","199204","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Ý","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Gogo - F&D Delivery","225541","0","Quán ở Quận 9, không phải Quận 10.","Quận 9","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Coca Food & Drink - Shop Online","855121","0","Quán ở Quận Gò Vấp, không phải Quận 10.","Quận Gò Vấp","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Ihandmade - Ăn Vặt & Giải Khát","887820","0","Quán ở Quận 7, không phải Quận 10.","Quận 7","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Hợi Hợi - Quán Ăn Ngon","268330","2","Quán ở Quận 10 đúng yêu cầu vị trí nhưng không có giao hàng tận nơi.","Quận 10","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Ăn Vặt A Má - Shop Online","1040232","0","Quán ở Quận 11, không phải Quận 10.","Quận 11","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn ở quận 10 có giao hàng tận nơi","Vice The Top - Rooftop Bar & Restaurant","1042279","0","Quán ở Quận 3, không phải Quận 10.","Quận 3","Quốc tế","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Trung Tâm Đặt Tiệc Anh Thư","38622","0","Quán không ở quận 1, không có đặt bàn.","Quận 8","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Anh Thư - Tiệc Tận Nơi","191781","1","Quán không ở quận 1, không có đặt bàn dù phù hợp cặp đôi.","Quận 3","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Diamond Place - Tiệc Cưới & Hội Nghị","1028","1","Quán không ở quận 1, có không gian đẹp và phù hợp cặp đôi nhưng không đặt bàn.","Quận Phú Nhuận","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Nhà Hàng Tiệc Cưới Kalina","317403","0","Quán không ở quận 1, không có đặt bàn, không phù hợp vị trí.","Quận Tân Phú","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Trung Tâm Hội Nghị & Tiệc Cưới Khách Sạn Đệ Nhất","25876","0","Quán không ở quận 1, không có đặt bàn, món Á không rõ phù hợp cặp đôi.","Quận Tân Bình","Món Á","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Nhà Hàng Hoàng Long 3 - Nhà Hàng Tiệc Cưới","8232","0","Quán không ở quận 1, không có đặt bàn, phục vụ và không gian không tốt.","Quận Gò Vấp","Món Việt || Món Á || Món Âu","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","The Adora - Tiệc Cưới Hội Nghị - Hoàng Văn Thụ","791511","0","Quán không ở quận 1, không phù hợp chất lượng và không có đặt bàn.","Quận Tân Bình","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Queen Plaza - Thành Thái","177694","0","Quán không ở quận 1, không có đặt bàn, giá không rõ.","Quận 10","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Nhà Hàng Tiệc Cưới Như Ý","924193","0","Quán không ở quận 1, không có đặt bàn.","Quận 5","Món Bắc || Món Miền Trung || Món Miền Nam || Tây Nguyên","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Golden Rose - Nhà Hàng Tiệc Cưới","872559","0","Quán không ở quận 1, không có đặt bàn.","Quận Tân Phú","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Kim Cương - Nhà Hàng Tiệc Cưới","644814","0","Quán không ở quận 1, không có đặt bàn.","Quận Bình Tân","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Les Saigonais - Lý Tự Trọng","128556","2","Quán ở quận 1, không gian tốt, phù hợp cặp đôi nhưng không có đặt bàn, là quán cafe.","Quận 1","Pháp","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Forever Wedding","1246","0","Quán không ở quận 1, không có đặt bàn, chất lượng kém.","Quận 3","Món Việt || Món Á || Món Âu","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Nhà Hàng Tiệc Cưới Hoàng Long","651584","0","Quán không ở quận 1, không có đặt bàn.","Quận Tân Bình","Món Việt","pinecone"
"Tôi muốn đặt bàn một nhà hàng ở quận 1 dành cho cặp đôi vào tối thứ bảy với không gian đẹp","Tiệc Lãng Mạn Cho 2 Người - Remember Event","215046","0","Quán không ở quận 1, không có đặt bàn.","Tp. Thủ Đức","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Thích Uống Coffee & Beer","897119","4","Quán cafe, quận 3, mở cửa chiều Chủ nhật, điểm chất lượng và phục vụ tốt.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Cafe Bình Dân","258933","1","Quán cafe quận 3, không có đánh giá chất lượng, ít phù hợp với yêu cầu đánh giá cao.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","The Coffeeland","988152","4","Quán cafe quận 3, mở cửa chiều Chủ nhật, chất lượng, phục vụ và không gian cao.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Thức Uống Mang Đi - Coffee Nguyên Chất","778698","1","Quán cafe quận 3 nhưng không có đánh giá chất lượng, ít phù hợp.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Cô Phương Cafe","695809","1","Quán cafe quận 3, không có đánh giá chất lượng, ít phù hợp.","Quận 3","Món Miền Nam","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Kiến Cafe","229456","1","Quán cafe quận 3, không có đánh giá chất lượng, ít phù hợp.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Me cafe Music - English","238880","4","Quán cafe quận 3, điểm chất lượng, phục vụ và không gian cao, mở cửa chiều Chủ nhật.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Elite Galeto Coffee 1","98481","3","Quán cafe quận 3, điểm chất lượng khá, mở cửa chiều Chủ nhật.","Quận 3","Ý","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Tinh Tế Cafe","289958","2","Quán cafe quận 3 nhưng điểm chất lượng trung bình, mở cửa chiều Chủ nhật.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Binna Jewelry And Coffee","1033060","1","Quán cafe quận 3 nhưng đánh giá thấp, không phù hợp yêu cầu.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Cafe 023","895989","0","Không nằm ở quận 3.","Quận 11","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Center Coffee","775698","0","Không nằm ở quận 3.","Quận 10","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Trà & Cafe 39","956840","0","Không nằm ở quận 3.","Quận Phú Nhuận","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Hạnh - Coffee & Tea","876581","1","Quán cafe quận 3 nhưng không có đánh giá chất lượng.","Quận 3","Món Việt","pinecone"
"Hãy cho tôi biết những quán cafe được đánh giá cao ở quận 3 để đi chiều Chủ nhật","Cafe Kim Cương","964487","1","Quán cafe quận 3 nhưng không có đánh giá chất lượng.","Quận 3","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Comida - Food & Drinks","227517","1","Quán không nằm ở quận Tân Bình, chỉ phù hợp nhóm văn phòng.","Quận 1","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Bliss Bistro - Món Ăn Âu Á Giá Việt - Trần Quý Khoách","762955","1","Quán không nằm ở quận Tân Bình, giá khá cao so với yêu cầu.","Quận 1","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Hà Duyên Quán - Điểm Tâm Sáng & Cơm Văn Phòng","700825","4","Quán đúng quận Tân Bình, giá chỉ 25000 phù hợp dân văn phòng.","Quận Tân Bình","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Canteen - Cafe, Bar & Grill","311544","1","Quán không nằm ở quận Tân Bình, có giá cao.","Quận 1","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Vạn Đô - Food & Coffee","958296","0","Quán không thuộc quận Tân Bình.","Quận 4","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Cô 3 Quán - Quán Ăn Bình Dân","694907","4","Quán đúng quận Tân Bình, giá phù hợp, phù hợp dân văn phòng.","Quận Tân Bình","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Mr. Ho Bistro - Quán Ăn & Cafe","650332","1","Quán không nằm quận Tân Bình, giá cao.","Quận 1","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Asiana Food Town - Rừng Ẩm Thực Châu Á","904395","0","Quán không thuộc quận Tân Bình.","Tp. Thủ Đức","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Quán Ăn Huỳnh Chi 999","217228","1","Quán không nằm ở quận Tân Bình, giá cao hơn yêu cầu.","Quận Phú Nhuận","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Ẩm Thực Hội Quán","283828","0","Quán không thuộc quận Tân Bình.","Quận 10","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Nhà Hàng Quá Ngon","21711","1","Quán đúng quận Tân Bình nhưng giá đắt, không phù hợp dân văn phòng giá phải chăng.","Quận Tân Bình","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","An Nhiên Quán","247117","0","Quán không nằm ở quận Tân Bình.","Quận Gò Vấp","Món Việt","pinecone"
"Quán ăn nào có giá cả phải chăng cho dân văn phòng ở quận Tân Bình","Quán Đồng Quê 2A - Quang Trung","157840","0","Quán không thuộc quận Tân Bình.","Quận Gò Vấp","Món Việt","pinecone"
